Parametro;Target;Media Osservata;IC (+/-);Esito
Tasso Arrivi (Lambda);1.4;1.3993077256944444;0.0033851849393146546;OK
Prob. Routing (p_c);0.4;0.3999029286982555;0.0011981124510542969;OK
Service Demand Edge_E;0.5;0.49903413011249953;0.0011938933434352062;OK
Service Demand Edge_C;0.1;0.09969655576555947;0.0003716019952655512;OK
Service Demand Cloud_C;0.8;0.7984677179051729;0.002864317991994206;OK
